tiempo (s),t corr (s),tension CH1 (mv),tension CH2 (V)
0.3962,3.9652E-02,-5.6,-3.6
0.3964,3.9672E-02,-6.4,-3.6
0.3966,3.9692E-02,-7.2,-3.6
0.3968,3.9712E-02,-4.8,-3.8
0.397,3.9732E-02,-4,-3.6
0.3972,3.9752E-02,-2.4,-3.6
0.3974,3.9772E-02,-0.8,-3.6
0.3976,3.9792E-02,1.6,-3.8
0.3978,3.9812E-02,3.2,-3.6
0.398,3.9832E-02,4.8,-3.8
0.3982,3.9852E-02,5.6,-3.6
0.3984,3.9872E-02,6.4,-3.8
0.3986,3.9892E-02,6.4,-3.6
0.3988,3.9912E-02,7.2,-3.8
0.399,3.9932E-02,8,-3.6
0.3992,3.9952E-02,9.6,-3.6
0.3994,3.9972E-02,12,-3.6
0.3996,3.9992E-02,12,-3.6
0.3998,4.0012E-02,13.6,-3.6
0.4,4.0032E-02,16.8,-3.8
0.4002,4.0052E-02,16.8,-3.6
0.4004,4.0072E-02,19.2,-3.6
0.4006,4.0092E-02,19.2,-3.6
0.4008,4.0112E-02,19.2,-3.4
0.401,4.0132E-02,20.8,-3.6
0.4012,4.0152E-02,20,-3.6
0.4014,4.0172E-02,18.4,-3.6
0.4016,4.0192E-02,17.6,-3.8
0.4018,4.0212E-02,16.8,-3.6
0.402,4.0232E-02,16,-3.6
0.4022,4.0252E-02,15.2,-3.6
0.4024,4.0272E-02,16.8,-3.6
0.4026,4.0292E-02,16,-3.8
0.4028,4.0312E-02,16.8,-3.6
0.403,4.0332E-02,16.8,-3.6
0.4032,4.0352E-02,16,-3.6
0.4034,4.0372E-02,16,-3.6
0.4036,4.0392E-02,13.6,-3.6
0.4038,4.0412E-02,13.6,-3.6
0.404,4.0432E-02,12,-3.8
0.4042,4.0452E-02,10.4,-3.8
0.4044,4.0472E-02,10.4,-3.6
0.4046,4.0492E-02,8.8,-3.6
0.4048,4.0512E-02,8.8,-3.8
0.405,4.0532E-02,10.4,-3.8
0.4052,4.0552E-02,12,-3.6
0.4054,4.0572E-02,15.2,-3.6
0.4056,4.0592E-02,14.4,-3.8
0.4058,4.0612E-02,16.8,-3.8
0.406,4.0633E-02,16.8,-3.8
0.4062,4.0653E-02,14.4,-3.6
0.4064,4.0673E-02,12,-3.6
0.4066,4.0693E-02,11.2,-3.8
0.4068,4.0713E-02,7.2,-3.6
0.407,4.0733E-02,2.4,-3.6
0.4072,4.0753E-02,1.6,-3.6
0.4074,4.0773E-02,-1.6,-3.8
0.4076,4.0793E-02,-0.8,-3.6
0.4078,4.0813E-02,-0.8,-3.8
0.408,4.0833E-02,1.6,-3.6
0.4082,4.0853E-02,4,-3.6
0.4084,4.0873E-02,7.2,-3.6
0.4086,4.0893E-02,10.4,-3.6
0.4088,4.0913E-02,12,-3.8
0.409,4.0933E-02,15.2,-3.6
0.4092,4.0953E-02,15.2,-3.8
0.4094,4.0973E-02,16,-3.8
0.4096,4.0993E-02,16.8,-3.6
0.4098,4.1013E-02,16.8,-3.6
0.41,4.1033E-02,16,-3.6
0.4102,4.1053E-02,17.6,-3.6
0.4104,4.1073E-02,17.6,-3.8
0.4106,4.1093E-02,19.2,-3.6
0.4108,4.1113E-02,20.8,-3.6
0.411,4.1133E-02,23.2,-3.6
0.4112,4.1153E-02,23.2,-3.6
0.4114,4.1173E-02,23.2,-3.6
0.4116,4.1193E-02,25.6,-3.6
0.4118,4.1213E-02,24.8,-3.6
0.412,4.1233E-02,24,-3.6
0.4122,4.1253E-02,24,-3.6
0.4124,4.1273E-02,23.2,-3.8
0.4126,4.1293E-02,21.6,-3.6
0.4128,4.1313E-02,20,-3.6
0.413,4.1333E-02,19.2,-3.6
0.4132,4.1353E-02,16.8,-3.6
0.4134,4.1373E-02,15.2,-3.6
0.4136,4.1393E-02,13.6,-3.6
0.4138,4.1413E-02,12.8,-3.6
0.414,4.1433E-02,11.2,-3.8
0.4142,4.1453E-02,11.2,-3.8
0.4144,4.1473E-02,12,-3.6
0.4146,4.1493E-02,10.4,-3.6
0.4148,4.1513E-02,9.6,-3.6
0.415,4.1533E-02,8.8,-3.6
0.4152,4.1553E-02,9.6,-3.6
0.4154,4.1573E-02,8.8,-3.6
0.4156,4.1593E-02,9.6,-3.8
0.4158,4.1613E-02,8.8,-3.8
0.416,4.1633E-02,9.6,-3.8
0.4162,4.1653E-02,9.6,-3.6
0.4164,4.1673E-02,9.6,-3.6
0.4166,4.1693E-02,12,-3.8
0.4168,4.1713E-02,11.2,-3.6
0.417,4.1733E-02,12,-3.6
0.4172,4.1753E-02,12,-3.6
0.4174,4.1773E-02,11.2,-3.6
0.4176,4.1793E-02,12,-3.6
0.4178,4.1813E-02,10.4,-3.6
0.418,4.1833E-02,10.4,-3.6
0.4182,4.1853E-02,8.8,-3.8
0.4184,4.1873E-02,7.2,-3.6
0.4186,4.1894E-02,7.2,-3.6
0.4188,4.1914E-02,5.6,-3.6
0.419,4.1934E-02,5.6,-3.6
0.4192,4.1954E-02,6.4,-3.6
0.4194,4.1974E-02,7.2,-3.6
0.4196,4.1994E-02,7.2,-3.6
0.4198,4.2014E-02,10.4,-3.6
0.42,4.2034E-02,10.4,-3.6
0.4202,4.2054E-02,10.4,-3.4
0.4204,4.2074E-02,11.2,-3.6
0.4206,4.2094E-02,11.2,-3.6
0.4208,4.2114E-02,10.4,-3.6
0.421,4.2134E-02,10.4,-3.6
0.4212,4.2154E-02,9.6,-3.6
0.4214,4.2174E-02,8.8,-3.6
0.4216,4.2194E-02,8,-3.6
0.4218,4.2214E-02,9.6,-3.6
0.422,4.2234E-02,9.6,-3.8
0.4222,4.2254E-02,9.6,-3.6
0.4224,4.2274E-02,10.4,-3.6
0.4226,4.2294E-02,8.8,-3.6
0.4228,4.2314E-02,9.6,-3.6
0.423,4.2334E-02,8.8,-3.6
0.4232,4.2354E-02,8.8,-3.6
0.4234,4.2374E-02,10.4,-3.6
0.4236,4.2394E-02,10.4,-3.6
0.4238,4.2414E-02,10.4,-3.6
0.424,4.2434E-02,10.4,-3.6
0.4242,4.2454E-02,11.2,-3.6
0.4244,4.2474E-02,12,-3.6
0.4246,4.2494E-02,12,-3.8
0.4248,4.2514E-02,12,-3.6
0.425,4.2534E-02,13.6,-3.8
0.4252,4.2554E-02,13.6,-3.6
0.4254,4.2574E-02,13.6,-3.6
0.4256,4.2594E-02,12.8,-3.6
0.4258,4.2614E-02,12,-3.6
0.426,4.2634E-02,12.8,-3.6
0.4262,4.2654E-02,12,-3.6
0.4264,4.2674E-02,13.6,-3.6
0.4266,4.2694E-02,12.8,-3.4
0.4268,4.2714E-02,14.4,-3.8
0.427,4.2734E-02,15.2,-3.6
0.4272,4.2754E-02,15.2,-3.8
0.4274,4.2774E-02,16.8,-3.6
0.4276,4.2794E-02,17.6,-3.6
0.4278,4.2814E-02,18.4,-3.6
0.428,4.2834E-02,18.4,-3.6
0.4282,4.2854E-02,18.4,-3.6
0.4284,4.2874E-02,17.6,-3.6
0.4286,4.2894E-02,17.6,-3.6
0.4288,4.2914E-02,17.6,-3.6
0.429,4.2934E-02,16,-3.8
0.4292,4.2954E-02,14.4,-3.6
0.4294,4.2974E-02,14.4,-3.6
0.4296,4.2994E-02,13.6,-3.6
0.4298,4.3014E-02,13.6,-3.6
0.43,4.3034E-02,13.6,-3.6
0.4302,4.3054E-02,12.8,-3.6
0.4304,4.3074E-02,11.2,-3.8
0.4306,4.3094E-02,12.8,-3.8
0.4308,4.3114E-02,12,-3.8
0.431,4.3135E-02,12,-3.6
0.4312,4.3155E-02,10.4,-3.6
0.4314,4.3175E-02,10.4,-3.8
0.4316,4.3195E-02,12.8,-3.6
0.4318,4.3215E-02,11.2,-3.8
0.432,4.3235E-02,12.8,-3.6
0.4322,4.3255E-02,13.6,-3.6
0.4324,4.3275E-02,12,-3.8
0.4326,4.3295E-02,13.6,-3.6
0.4328,4.3315E-02,11.2,-3.6
0.433,4.3335E-02,10.4,-3.8
0.4332,4.3355E-02,10.4,-3.6
0.4334,4.3375E-02,10.4,-3.6
0.4336,4.3395E-02,11.2,-3.6
0.4338,4.3415E-02,8.8,-3.6
0.434,4.3435E-02,8.8,-3.8
0.4342,4.3455E-02,8,-3.6
0.4344,4.3475E-02,11.2,-3.8
0.4346,4.3495E-02,11.2,-3.6
0.4348,4.3515E-02,12,-3.6
0.435,4.3535E-02,13.6,-3.6
0.4352,4.3555E-02,14.4,-3.6
0.4354,4.3575E-02,15.2,-3.6
0.4356,4.3595E-02,15.2,-3.6
0.4358,4.3615E-02,16,-3.6
0.436,4.3635E-02,16,-3.6
0.4362,4.3655E-02,16,-3.6
0.4364,4.3675E-02,16.8,-3.6
0.4366,4.3695E-02,17.6,-3.6
0.4368,4.3715E-02,19.2,-3.6
0.437,4.3735E-02,21.6,-3.8
0.4372,4.3755E-02,23.2,-3.6
0.4374,4.3775E-02,26.4,-3.6
0.4376,4.3795E-02,26.4,-3.6
0.4378,4.3815E-02,26.4,-3.6
0.438,4.3835E-02,24.8,-3.6
0.4382,4.3855E-02,25.6,-3.6
0.4384,4.3875E-02,25.6,-3.6
0.4386,4.3895E-02,25.6,-3.6
0.4388,4.3915E-02,21.6,-3.6
0.439,4.3935E-02,20.8,-3.6
0.4392,4.3955E-02,19.2,-3.8
0.4394,4.3975E-02,16.8,-3.8
0.4396,4.3995E-02,17.6,-3.6
0.4398,4.4015E-02,16,-3.6
0.44,4.4035E-02,15.2,-3.8
0.4402,4.4055E-02,15.2,-3.6
0.4404,4.4075E-02,13.6,-3.6
0.4406,4.4095E-02,14.4,-3.6
0.4408,4.4115E-02,12,-3.8
0.441,4.4135E-02,12,-3.6
0.4412,4.4155E-02,10.4,-3.6
0.4414,4.4175E-02,9.6,-3.6
0.4416,4.4195E-02,8.8,-3.6
0.4418,4.4215E-02,8.8,-3.6
0.442,4.4235E-02,7.2,-3.8
0.4422,4.4255E-02,4.8,-3.8
0.4424,4.4275E-02,5.6,-3.6
0.4426,4.4295E-02,5.6,-3.6
0.4428,4.4315E-02,4,-3.8
0.443,4.4335E-02,6.4,-3.6
0.4432,4.4355E-02,6.4,-3.6
0.4434,4.4376E-02,6.4,-3.6
0.4436,4.4396E-02,7.2,-3.6
0.4438,4.4416E-02,8,-3.6
0.444,4.4436E-02,10.4,-3.6
0.4442,4.4456E-02,10.4,-3.6
0.4444,4.4476E-02,9.6,-3.6
0.4446,4.4496E-02,9.6,-3.8
0.4448,4.4516E-02,9.6,-3.6
0.445,4.4536E-02,10.4,-3.6
0.4452,4.4556E-02,11.2,-3.6
0.4454,4.4576E-02,12,-3.6
0.4456,4.4596E-02,12,-3.6
0.4458,4.4616E-02,15.2,-3.8
0.446,4.4636E-02,13.6,-3.6
0.4462,4.4656E-02,13.6,-3.6
0.4464,4.4676E-02,14.4,-3.6
0.4466,4.4696E-02,13.6,-3.6
0.4468,4.4716E-02,12,-3.6
0.447,4.4736E-02,11.2,-3.6
0.4472,4.4756E-02,10.4,-3.6
0.4474,4.4776E-02,9.6,-3.6
0.4476,4.4796E-02,9.6,-3.6
0.4478,4.4816E-02,8.8,-3.6
0.448,4.4836E-02,8.8,-3.4
0.4482,4.4856E-02,10.4,-3.6
0.4484,4.4876E-02,11.2,-3.6
0.4486,4.4896E-02,14.4,-3.8
0.4488,4.4916E-02,16,-3.6
0.449,4.4936E-02,16.8,-3.6
0.4492,4.4956E-02,19.2,-3.6
0.4494,4.4976E-02,19.2,-3.6
0.4496,4.4996E-02,20,-3.6
0.4498,4.5016E-02,19.2,-3.6
0.45,4.5036E-02,17.6,-3.6
0.4502,4.5056E-02,16.8,-3.6
0.4504,4.5076E-02,14.4,-3.6
0.4506,4.5096E-02,14.4,-3.6
0.4508,4.5116E-02,11.2,-3.6
0.451,4.5136E-02,10.4,-3.6
0.4512,4.5156E-02,10.4,-3.8
0.4514,4.5176E-02,7.2,-3.6
0.4516,4.5196E-02,7.2,-3.8
0.4518,4.5216E-02,8,-3.6
0.452,4.5236E-02,7.2,-3.8
0.4522,4.5256E-02,6.4,-3.6
0.4524,4.5276E-02,4.8,-3.6
0.4526,4.5296E-02,4,-3.6
0.4528,4.5316E-02,3.2,-3.8
0.453,4.5336E-02,1.6,-3.6
0.4532,4.5356E-02,0.8,-3.8
0.4534,4.5376E-02,0,-3.8
0.4536,4.5396E-02,0.8,-3.6
0.4538,4.5416E-02,1.6,-3.6
0.454,4.5436E-02,2.4,-3.6
0.4542,4.5456E-02,4.8,-3.6
0.4544,4.5476E-02,4,-3.6
0.4546,4.5496E-02,8,-3.6
0.4548,4.5516E-02,8.8,-3.6
0.455,4.5536E-02,10.4,-3.6
0.4552,4.5556E-02,12,-3.6
0.4554,4.5576E-02,12.8,-3.8
0.4556,4.5596E-02,15.2,-3.8
0.4558,4.5616E-02,15.2,-3.6
0.456,4.5637E-02,13.6,-3.6
0.4562,4.5657E-02,14.4,-3.6
0.4564,4.5677E-02,15.2,-3.8
0.4566,4.5697E-02,14.4,-3.6
0.4568,4.5717E-02,14.4,-3.6
0.457,4.5737E-02,14.4,-3.6
0.4572,4.5757E-02,14.4,-3.6
0.4574,4.5777E-02,14.4,-3.6
0.4576,4.5797E-02,14.4,-3.8
0.4578,4.5817E-02,13.6,-3.6
0.458,4.5837E-02,13.6,-3.6
0.4582,4.5857E-02,12,-3.6
0.4584,4.5877E-02,12.8,-3.8
0.4586,4.5897E-02,10.4,-3.8
0.4588,4.5917E-02,10.4,-3.6
0.459,4.5937E-02,9.6,-3.8
0.4592,4.5957E-02,9.6,-3.6
0.4594,4.5977E-02,10.4,-3.6
0.4596,4.5997E-02,10.4,-3.8
0.4598,4.6017E-02,11.2,-3.6
0.46,4.6037E-02,13.6,-3.8
0.4602,4.6057E-02,12,-3.6
0.4604,4.6077E-02,15.2,-3.8
0.4606,4.6097E-02,15.2,-3.8
0.4608,4.6117E-02,16,-3.8
0.461,4.6137E-02,15.2,-3.6
0.4612,4.6157E-02,14.4,-3.6
0.4614,4.6177E-02,14.4,-3.6
0.4616,4.6197E-02,12.8,-3.6
0.4618,4.6217E-02,12,-3.6
0.462,4.6237E-02,10.4,-3.6
0.4622,4.6257E-02,11.2,-3.6
0.4624,4.6277E-02,12,-3.6
0.4626,4.6297E-02,12.8,-3.6
0.4628,4.6317E-02,12,-3.4
0.463,4.6337E-02,12,-3.6
0.4632,4.6357E-02,14.4,-3.6
0.4634,4.6377E-02,15.2,-3.6
0.4636,4.6397E-02,16,-3.6
0.4638,4.6417E-02,14.4,-3.6
0.464,4.6437E-02,16,-3.6
0.4642,4.6457E-02,15.2,-3.6
0.4644,4.6477E-02,15.2,-3.6
0.4646,4.6497E-02,15.2,-3.6
0.4648,4.6517E-02,13.6,-3.6
0.465,4.6537E-02,13.6,-3.4
0.4652,4.6557E-02,12.8,-3.6
0.4654,4.6577E-02,12.8,-3.6
0.4656,4.6597E-02,12.8,-3.6
0.4658,4.6617E-02,12,-3.6
0.466,4.6637E-02,11.2,-3.6
0.4662,4.6657E-02,11.2,-3.6
0.4664,4.6677E-02,12,-3.6
0.4666,4.6697E-02,10.4,-3.6
0.4668,4.6717E-02,12,-3.6
0.467,4.6737E-02,10.4,-3.6
0.4672,4.6757E-02,11.2,-3.6
0.4674,4.6777E-02,12.8,-3.8
0.4676,4.6797E-02,12,-3.8
0.4678,4.6817E-02,11.2,-3.8
0.468,4.6837E-02,12,-3.6
0.4682,4.6857E-02,11.2,-3.8
0.4684,4.6878E-02,11.2,-3.6
0.4686,4.6898E-02,11.2,-3.4
0.4688,4.6918E-02,9.6,-3.4
0.469,4.6938E-02,9.6,-3.6
0.4692,4.6958E-02,8,-3.6
0.4694,4.6978E-02,9.6,-3.6
0.4696,4.6998E-02,11.2,-3.8
0.4698,4.7018E-02,10.4,-3.6
0.47,4.7038E-02,11.2,-3.8
0.4702,4.7058E-02,11.2,-3.6
0.4704,4.7078E-02,10.4,-3.6
0.4706,4.7098E-02,12.8,-3.6
0.4708,4.7118E-02,12.8,-3.6
0.471,4.7138E-02,12,-3.8
0.4712,4.7158E-02,12.8,-3.8
0.4714,4.7178E-02,12,-3.8
0.4716,4.7198E-02,11.2,-3.8
0.4718,4.7218E-02,10.4,-3.6
0.472,4.7238E-02,16.8,-3.6
0.4722,4.7258E-02,12,-3.6
0.4724,4.7278E-02,7.2,-3.8
0.4726,4.7298E-02,11.2,-3.6
0.4728,4.7318E-02,12.8,-3.6
0.473,4.7338E-02,12.8,-3.8
0.4732,4.7358E-02,12.8,-3.6
0.4734,4.7378E-02,13.6,-3.6
0.4736,4.7398E-02,13.6,-3.8
0.4738,4.7418E-02,13.6,-3.8
0.474,4.7438E-02,15.2,-3.6
0.4742,4.7458E-02,13.6,-3.6
0.4744,4.7478E-02,13.6,-3.8
0.4746,4.7498E-02,16,-3.6
0.4748,4.7518E-02,16,-3.6
0.475,4.7538E-02,14.4,-3.6
0.4752,4.7558E-02,15.2,-3.6
0.4754,4.7578E-02,16.8,-3.6
0.4756,4.7598E-02,16.8,-3.6
0.4758,4.7618E-02,15.2,-3.6
0.476,4.7638E-02,15.2,-3.6
0.4762,4.7658E-02,12,-3.6
0.4764,4.7678E-02,12.8,-3.6
0.4766,4.7698E-02,10.4,-3.6
0.4768,4.7718E-02,8,-3.8
0.477,4.7738E-02,8.8,-3.8
0.4772,4.7758E-02,8,-3.6
0.4774,4.7778E-02,8,-3.6
0.4776,4.7798E-02,10.4,-3.6
0.4778,4.7818E-02,8,-3.6
0.478,4.7838E-02,2.4,-3.6
0.4782,4.7858E-02,7.2,-3.8
0.4784,4.7878E-02,4.8,-3.6
0.4786,4.7898E-02,7.2,-3.8
0.4788,4.7918E-02,3.2,-3.6
0.479,4.7938E-02,3.2,-3.8
0.4792,4.7958E-02,4.8,-3.6
0.4794,4.7978E-02,2.4,-3.8
0.4796,4.7998E-02,3.2,-3.8
0.4798,4.8018E-02,2.4,-3.6
0.48,4.8038E-02,2.4,-3.6
0.4802,4.8058E-02,2.4,-3.6
0.4804,4.8078E-02,3.2,-3.6
0.4806,4.8098E-02,4.8,-3.6
0.4808,4.8118E-02,5.6,-3.6
0.481,4.8139E-02,8.8,-3.8
0.4812,4.8159E-02,9.6,-3.6
0.4814,4.8179E-02,10.4,-3.6
0.4816,4.8199E-02,11.2,-3.6
0.4818,4.8219E-02,11.2,-3.6
0.482,4.8239E-02,13.6,-3.8
0.4822,4.8259E-02,13.6,-3.6
0.4824,4.8279E-02,14.4,-3.6
0.4826,4.8299E-02,16,-3.6
0.4828,4.8319E-02,16.8,-3.6
0.483,4.8339E-02,16.8,-3.6
0.4832,4.8359E-02,17.6,-3.6
0.4834,4.8379E-02,16.8,-3.8
0.4836,4.8399E-02,16.8,-3.6
0.4838,4.8419E-02,17.6,-3.8
0.484,4.8439E-02,16.8,-3.6
0.4842,4.8459E-02,17.6,-3.6
0.4844,4.8479E-02,17.6,-3.8
0.4846,4.8499E-02,17.6,-3.6
0.4848,4.8519E-02,18.4,-3.6
0.485,4.8539E-02,16,-3.6
0.4852,4.8559E-02,16.8,-3.4
0.4854,4.8579E-02,16,-3.6
0.4856,4.8599E-02,15.2,-3.6
0.4858,4.8619E-02,14.4,-3.8
0.486,4.8639E-02,16,-3.6
0.4862,4.8659E-02,15.2,-3.6
0.4864,4.8679E-02,15.2,-3.6
0.4866,4.8699E-02,15.2,-3.8
0.4868,4.8719E-02,14.4,-3.6
0.487,4.8739E-02,15.2,-3.6
0.4872,4.8759E-02,14.4,-3.6
0.4874,4.8779E-02,13.6,-3.6
0.4876,4.8799E-02,13.6,-3.6
0.4878,4.8819E-02,13.6,-3.8
0.488,4.8839E-02,13.6,-3.6
0.4882,4.8859E-02,12.8,-3.4
0.4884,4.8879E-02,12.8,-3.6
0.4886,4.8899E-02,12.8,-3.4
0.4888,4.8919E-02,13.6,-3.8
0.489,4.8939E-02,15.2,-3.6
0.4892,4.8959E-02,15.2,-3.6
0.4894,4.8979E-02,16,-3.8
0.4896,4.8999E-02,16.8,-3.6
0.4898,4.9019E-02,18.4,-3.6
0.49,4.9039E-02,16.8,-3.8
0.4902,4.9059E-02,14.4,-3.6
0.4904,4.9079E-02,12.8,-3.6
0.4906,4.9099E-02,10.4,-3.6
0.4908,4.9119E-02,10.4,-3.6
0.491,4.9139E-02,8.8,-3.8
0.4912,4.9159E-02,8,-3.6
0.4914,4.9179E-02,7.2,-3.6
0.4916,4.9199E-02,8.8,-3.4
0.4918,4.9219E-02,8.8,-3.6
0.492,4.9239E-02,10.4,-3.6
0.4922,4.9259E-02,12,-3.6
0.4924,4.9279E-02,13.6,-3.6
0.4926,4.9299E-02,16,-3.8
0.4928,4.9319E-02,16.8,-3.6
0.493,4.9339E-02,16.8,-3.6
0.4932,4.9359E-02,18.4,-3.6
0.4934,4.9380E-02,16.8,-3.6
0.4936,4.9400E-02,18.4,-3.6
0.4938,4.9420E-02,19.2,-3.8
0.494,4.9440E-02,16.8,-3.6
0.4942,4.9460E-02,18.4,-3.8
0.4944,4.9480E-02,16.8,-3.6
0.4946,4.9500E-02,18.4,-3.8
0.4948,4.9520E-02,18.4,-3.6
0.495,4.9540E-02,18.4,-3.6
0.4952,4.9560E-02,20,-3.6
0.4954,4.9580E-02,18.4,-3.8
0.4956,4.9600E-02,18.4,-3.6
0.4958,4.9620E-02,16.8,-3.6
0.496,4.9640E-02,17.6,-3.8
0.4962,4.9660E-02,16.8,-3.4
0.4964,4.9680E-02,15.2,-3.6
0.4966,4.9700E-02,15.2,-3.6
0.4968,4.9720E-02,13.6,-3.6
0.497,4.9740E-02,13.6,-3.6
0.4972,4.9760E-02,12,-3.6
0.4974,4.9780E-02,11.2,-3.6
0.4976,4.9800E-02,10.4,-3.6
0.4978,4.9820E-02,10.4,-3.6
0.498,4.9840E-02,11.2,-3.6
0.4982,4.9860E-02,10.4,-3.6
0.4984,4.9880E-02,10.4,-3.8
0.4986,4.9900E-02,11.2,-3.6
0.4988,4.9920E-02,10.4,-3.6
0.499,4.9940E-02,11.2,-3.8
0.4992,4.9960E-02,11.2,-3.6
0.4994,4.9980E-02,11.2,-3.4
0.4996,5.0000E-02,10.4,-3.6
